detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,8adf3a49-6dc5-44a7-a1eb-ecf69107c3ba,sahiuqlyojjjvijzbfqt,1745454688334000
null,LOG,connection received: host=::1 port=3923,null,9e4e8220-f673-4ff8-a5cf-7cdfc8b4a2c9,sahiuqlyojjjvijzbfqt,1745454688333000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,776a1d82-00d7-4a67-a229-aa2b2ea8ee98,sahiuqlyojjjvijzbfqt,1745454634207000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,6c30eeb8-449e-48b6-b244-6c5118f62f30,sahiuqlyojjjvijzbfqt,1745454634207000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,53b3dca3-fe49-464a-8dc8-2954b92bf762,sahiuqlyojjjvijzbfqt,1745454634204000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a223fe30-70fa-4428-a513-612a1734285e,sahiuqlyojjjvijzbfqt,1745454634204000
null,LOG,connection received: host=2a05:d018:1e14:200:5b23:212e:ad70:40c6 port=37460,null,7bf72225-0fc7-48dc-a0af-ca25e1acfba8,sahiuqlyojjjvijzbfqt,1745454634068000
null,LOG,connection received: host=2a05:d018:1e14:201:ff9f:f687:f9da:a312 port=58798,null,2bfdae25-be52-4c2f-a4b8-7c49892edde4,sahiuqlyojjjvijzbfqt,1745454634067000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,d845d3d3-d2c3-4a82-96ac-5ee947698097,sahiuqlyojjjvijzbfqt,1745454628330000
null,LOG,connection received: host=::1 port=10087,null,feac69f7-1849-4707-a3d8-e2af7964299c,sahiuqlyojjjvijzbfqt,1745454628329000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,8f861ff1-3374-47de-81b3-3b0403a22781,sahiuqlyojjjvijzbfqt,1745454604263000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,6d97a032-95b4-4265-a9d3-d96b7e74122f,sahiuqlyojjjvijzbfqt,1745454604263000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,de0849f1-d99a-459b-9219-5c98c0dada07,sahiuqlyojjjvijzbfqt,1745454604261000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,abb5a44f-c3d2-48a0-b67d-b032023d9b77,sahiuqlyojjjvijzbfqt,1745454604261000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,bf13a558-5c06-459a-ba25-1540313d893d,sahiuqlyojjjvijzbfqt,1745454604170000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,e80d2ceb-4e0b-466f-91db-ccfc94335f63,sahiuqlyojjjvijzbfqt,1745454604170000
null,LOG,connection received: host=2a05:d018:1e14:201:a128:337e:8da5:ed7e port=33892,null,a091a4b0-fb81-4236-8553-dba6f85b2c2e,sahiuqlyojjjvijzbfqt,1745454604036000
null,LOG,connection received: host=2a05:d018:1e14:200:a0b0:7be7:f5e8:9222 port=56930,null,7c19e971-bc96-425d-af9e-968791e63538,sahiuqlyojjjvijzbfqt,1745454604031000
null,LOG,connection received: host=2a05:d018:1e14:200:a0b0:7be7:f5e8:9222 port=56928,null,fc149ccc-196b-46d7-bba5-adaf4d86645a,sahiuqlyojjjvijzbfqt,1745454604023000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,f0ec21fe-c2bd-4912-a139-7e8e06986661,sahiuqlyojjjvijzbfqt,1745454568330000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,c89ba650-8478-44f1-b331-a47ade6a76f9,sahiuqlyojjjvijzbfqt,1745454565636000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,58309ee1-d10f-42d9-a8dc-12fdd0efec08,sahiuqlyojjjvijzbfqt,1745454565636000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,4af1a519-ea44-4cd1-957f-0d142b2f0d9e,sahiuqlyojjjvijzbfqt,1745454565246000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7177eaef-10a1-40e4-91e6-a17c15fc3d75,sahiuqlyojjjvijzbfqt,1745454565246000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,80d75b81-f4dc-44df-a707-9b78d4b88170,sahiuqlyojjjvijzbfqt,1745454565061000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9bde199b-55dd-4edb-8cda-2cf336ca9fc5,sahiuqlyojjjvijzbfqt,1745454565061000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b8931eec-3ad3-4d11-9233-6bf86e76e91f,sahiuqlyojjjvijzbfqt,1745454565041000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,9bebcb08-9f38-4403-9ea6-73e182e284dc,sahiuqlyojjjvijzbfqt,1745454565041000
